id_artist,artist_name
627,Stevie Ray Vaughan and Double Trouble
628,Alice Cooper
629,John Lee Hooker
630,Kingston Wall
631,Danny Elfman
632,Jon Hopkins
633,Ghazal
634,Jackie McLean
635,Tortoise
636,Primus
637,Prince and The Revolution
638,Big Pun
639,Änglagård
640,Overkill
641,Virgin Steele
642,Zé Ramalho
643,Fields of the Nephilim
644,Morphine
645,Possessed
646,Franco Battiato
647,Gil Scott-Heron &amp; Brian Jackson
648,Millie Jackson
649,The Jesus Lizard
650,Purple Mountains
651,The Blue Nile
652,DJ Sprinkles
653,Kamelot
654,Toots &amp; The Maytals
655,Groupe de Recherches Musicales de la RTF
656,Eric B. &amp; Rakim
657,Sleater-Kinney
658,Hans Zimmer
659,Candy Claws
660,Ulver
661,Savatage
662,Elvis Costello &amp; The Attractions
663,Cardiacs
664,Ted Nugent
665,The Lord Weird Slough Feg
666,Janis Joplin
667,Oasis
668,Jay Reatard
669,UFO
670,Nature and Organisation
671,Chris Squire
672,Los Jaivas
673,CCCP Fedeli alla Linea
674,Myslovitz
675,Paulinho da Viola
676,Jim O&#39;Rourke
677,Paradise Lost
678,"Black Country, New Road"
679,Running Wild
680,Electronic Studio Westdeutscher Rundfunk Köln
681,Nacho Vegas
682,The Blues Brothers
683,Shuggie Otis
684,Spirit
685,Redman
686,Paco de Lucía
687,Sunny Day Real Estate
688,Sam Rivers
689,The Bill Dixon Orchestra
690,The Cars
691,Ice Cube
692,Patti Smith Group
693,Gillian Welch
694,Main Source
695,Max Romeo
696,Esoteric
697,Gil Evans
698,Vashti Bunyan
699,Paddy McAloon
700,Emmylou Harris
701,Yellow Magic Orchestra
702,Gustavo Santaolalla
703,Charli XCX
704,The Gun Club
705,파란노을 
706,Wolves in the Throne Room
707,Lucinda Williams
708,Tom Petty
709,Stiff Little Fingers
710,Bobby Bland
711,Nick Cave
712,Eesti Filharmoonia Kammerkoor
713,Steve Hackett
714,Green Carnation
715,Robert Rich
716,Duke Ellington and His Orchestra
717,Gong
718,Lorde
719,Repulsion
720,Lamp
721,Molested
722,Black Uhuru
723,Elza
724,Shivkumar Sharma &amp; Zakir Hussain
725,Jon Brion
726,The Nitty Gritty Dirt Band
727,Lana Del Rey
728,The B-52&#39;s
729,Lost Horizon
730,Enrique Morente
731,Yayayi
732,Trevor Jones
733,Willie Nelson
734,Ella Fitzgerald &amp; Louis Armstrong
735,Snarky Puppy
736,Suede
737,Pretty Things
738,The Ahmad Jamal Trio
739,Los Tres
740,Galaxie 500
741,The Sisters of Mercy
742,Anthony Braxton
743,Eberhard Weber Colours
744,Global Communication
745,Gram Parsons
746,The Upsetters
747,Dead Congregation
748,Number Girl
749,Buddy Guy
750,静香 
751,Toquinho e Vinícius
752,Peter McConnell
753,Alan Menken
754,Fenton Robinson
755,X
756,Pet Shop Boys
757,Enslaved
758,Area
759,Company Flow
760,Joan Manuel Serrat
761,Jean Michel Jarre
762,Freddie King
763,J.J. Cale
764,Eberhard Weber
765,Bomb the Music Industry!
766,Phoenix
767,Black Alien
768,At the Gates
769,Masta Ace
770,Warning
771,Cheap Trick
772,Madlib
773,瀬上純 
774,"Earth, Wind &amp; Fire"
775,The Zbigniew Namysłowski Quintet
776,Sonny Clark
777,Johnny Winter
778,Clifford Jordan Quartet
779,Tori Amos
780,Pharoahe Monch
781,Кино 
782,Disillusion
783,Hound Dog Taylor &amp; The Houserockers
784,Alias Conrad Coldwood
785,Peter Tosh
786,Junior Kimbrough
787,The Soft Machine
788,Hawkwind
789,Gorguts
790,Peter Hammill
791,Patton Oswalt
792,Ride
793,Jan Johansson
794,Kult
795,Wuthering Heights
796,Bohren &amp; der Club of Gore
797,Alain Goraguer
798,Asko Ensemble
799,El-P
800,Melvins
801,Soda Stereo
802,Arditti String Quartet
803,ConcernedApe
804,The Field
805,Richard &amp; Linda Thompson
806,Metá Metá
807,Gil Scott-Heron/Brian Jackson
808,Ras Kass
809,Mal Waldron with Eric Dolphy and Booker Ervin
810,Wowaka
811,Ijahman
812,Max Richter
813,Harold Budd
814,Popol Vuh
815,Strapping Young Lad
816,Niños del Cerro
817,Marcin Przybyłowicz
818,Rammstein
819,James Chance &amp; The Contortions
820,Traffic
821,Tom Petty and The Heartbreakers
822,Chick Corea
823,16 Horsepower
824,Jonny Greenwood
825,Willie Colón &amp; Rubén Blades
826,Эдуард Артемьев 
827,Clarence Clarity
828,Bob Dylan &amp; The Band
829,Anthrax
830,Morrissey
831,Willie Dixon
832,Mad Season
833,Judee Sill
834,Ravi Shankar
835,Moacir Santos
836,Mickey Newbury
837,Mulatu Astatke featuring Fekade Amde Maskal
838,Dinal
839,北村友香 
840,Elizabeth Cotten
841,John Barry
842,Drudkh
843,Deicide
844,Showbiz &amp; A.G.
845,Tiro de Gracia
846,Taste
847,Misfits
848,Trent Reznor and Atticus Ross
849,Jay Munly
850,Buddy Guy &amp; Junior Wells
851,The Left Banke
852,Orphaned Land
853,Czesław Niemen
854,Dawn
855,Pappo&#39;s Blues
856,George Clanton
857,Steeleye Span
858,Manfred Mann&#39;s Earth Band
859,Orbital
860,Arcturus
861,Rod Stewart
862,Portraits of Past
863,Drive-By Truckers
864,Егор и Опизденевшие 
865,Playboi Carti
866,Bill Callahan
867,Free
868,The Isley Brothers
869,Disasterpeace
870,Daniel Johnston
871,cLOUDDEAD
872,Mission of Burma
873,José Afonso
874,The Pentangle
875,Angra
876,Laura Nyro
877,Adoniran Barbosa
878,The Michael Schenker Group
879,Eminem
880,Steve Hillage
881,Orquesta Sinfónica de Galicia
882,The Radio Dept.
883,The Devin Townsend Band
884,芸能山城組 
885,Pharoah Sanders
886,Shellac
887,Billy Woods
888,Mass of the Fermenting Dregs
889,Simple Minds
890,Tommy Wright III
891,Guy Clark
892,Tubeway Army
893,Insomnium
894,Leo Kottke
895,Emitt Rhodes
896,Yellow Swans
897,Katatonia
898,Budgie
899,Michael Nyman
900,Thomas Newman
901,Steel Mill
902,Blur
903,Discharge
904,Elder
905,Julia Holter
906,Scorpions
907,Death Angel
908,Vince Guaraldi Trio
909,Pretenders
910,Jimmy Eat World
911,Symphony X
912,James Horner
913,Caravan
914,My Dying Bride
915,Kingpin Skinny Pimp
916,Pagan Altar
917,Neko Case
918,Dog Faced Hermans
919,The God Machine
920,Seat Belts
921,Nasum
