id_albuma,genre
238,Orchestral
239,Film Score
239,Cinematic Classical
239,Orchestral
240,Neo-Psychedelia
240,Psychedelic Pop
241,Jazz Fusion
242,East Coast Hip Hop
242,Boom Bap
242,Conscious Hip Hop
242,Jazz Rap
243,Singer/Songwriter
244,Post-Bop
244,Avant-Garde Jazz
245,Alternative Rock
245,Pop Rock
246,Alternative Metal
247,Progressive Rock
248,Folk Rock
249,Art Pop
249,Progressive Pop
250,Singer/Songwriter
250,Folk Rock
250,Country Rock
251,Baroque Pop
251,Art Pop
252,Art Rock
252,Psychedelic Rock
252,Alternative Rock
252,Neo-Psychedelia
253,Technical Death Metal
253,Progressive Metal
254,Art Pop
254,Art Rock
254,Progressive Pop
255,Free Jazz
255,Spiritual Jazz
256,Hard Rock
256,Heavy Metal
257,Cool Jazz
258,Art Rock
258,Neo-Psychedelia
259,Post-Punk
259,Art Punk
259,Post-Hardcore
260,Blues Rock
260,Psychedelic Rock
261,Grunge
262,Electropop
262,Synthpop
263,Alternative Rock
263,Power Pop
264,Cool Jazz
265,Psychedelic Rock
265,Acid Rock
266,Art Rock
266,Experimental Rock
267,Free Jazz
268,Symphonic Prog
268,Progressive Rock
269,Blues Rock
269,Psychedelic Rock
270,Experimental Hip Hop
270,Noise Rock
270,Industrial Hip Hop
270,Abstract Hip Hop
271,Art Rock
272,Britpop
273,Film Score
273,Cinematic Classical
274,East Coast Hip Hop
275,Singer/Songwriter
275,Indie Folk
276,Progressive Rock
277,Heavy Metal
278,Alternative Rock
279,Funk
279,Psychedelic Soul
279,Soul
280,Noise Rock
280,Indie Rock
280,Alternative Rock
280,Lo-Fi / Slacker Rock
281,Post-Bop
282,Post-Punk
283,Canterbury Scene
283,Art Rock
284,Rock Opera
284,Hard Rock
285,Soul
286,Blues Rock
287,Glam Rock
288,Heartland Rock
288,Singer/Songwriter
289,Progressive Rock
290,Art Pop
291,Melodic Black Metal
292,Singer/Songwriter
292,Blues Rock
293,Southern Rock
294,Hardcore Punk
295,Singer/Songwriter
295,Indie Folk
296,Post-Hardcore
296,Hardcore Punk
297,Symphonic Black Metal
297,Black Metal
298,Atmospheric Sludge Metal
298,Sludge Metal
299,Progressive Rock
300,Symphonic Black Metal
301,Progressive Metal
302,Afrobeat
303,Heavy Metal
303,Progressive Metal
304,Noise Rock
304,Experimental Rock
305,Progressive Metal
305,Progressive Rock
306,Chamber Folk
306,Singer/Songwriter
307,American Primitivism
308,Progressive Rock
308,Hard Rock
309,Garage Punk
309,Psychedelic Rock
310,Vocal Jazz
310,Standards
311,Jazz Fusion
311,Jazz-Rock
312,Baroque Music
313,Video Game Music
313,16-bit
314,ECM Style Jazz
314,Avant-Garde Jazz
315,Indie Rock
316,Death Metal
317,Atmospheric Sludge Metal
317,Post-Metal
318,Progressive Rock
319,Singer/Songwriter
319,Progressive Country
320,Experimental Hip Hop
320,Glitch Hop
320,Experimental
321,Symphonic Prog
321,Progressive Rock
322,Indie Rock
323,Progressive Rock
324,Abstract Hip Hop
324,Experimental Hip Hop
325,P-Funk
326,West Coast Hip Hop
